sent0,sent1,hard_neg,source
Source: Foggy mountain; Edit instruction: make it a farming,Foggy farm,Foggy mountain,webvid_covr_multimodal
Source: Stormy sea waves; Edit instruction: Make it less dramatic,Tranquil sea waves,Stormy sea waves,webvid_covr_multimodal
A woman and man are packing money into squares.,Two people pack money.,Two people play basketball.,nli_base
Source: Kids drawing green screen with theme of dinosaur; Edit instruction: The kids are drawing with a crank,Kids drawing green screen with theme of crank,Kids drawing green screen with theme of dinosaur,webvid_covr_multimodal
Two men wearing matching white t-shirts and headphones are leaning over working on something.,A couple of guys in white t-shirts are leaning over a project.,A pair of women in purple dresses are chatting at a party.,nli_base
um-hum i think i think sometimes that you um you pick you become more aware of what you have,I believe sometimes that you become more conscious of what you possess.,I think sometimes you become more aware of the things around you.,nli_base
"Source: The appearance of the green neon symbol cog. flicker, in - out. alpha channel premultiplied - matted with color black; Edit instruction: make him smoke","The appearance of the green neon symbol smoking. flicker, in - out. alpha channel premultiplied - matted with color black","The appearance of the green neon symbol cog. flicker, in - out. alpha channel premultiplied - matted with color black",webvid_covr_multimodal
yeah and then i think that um nobody was really buying homes for a long time there because of just i mean we've been in ours for about ten years but uh there's no investment in it you know,We have been in our home for ten years but there is no investment benefits to owning it.,We've been in our house for five years and it's been a great investment.,nli_base
"A man in black shorts stands next to a bicycle, as a young girl in a lavender coat looks on.",The man is near the bicycle.,The man is sitting on the grass.,nli_base
Source: Mountain valley; Edit instruction: turn the town into a valley,Mountain town,Mountain valley,webvid_covr_multimodal
Source: Street sign the way to motivation; Edit instruction: Paint a beach scene,Street sign the way to holiday,Street sign the way to motivation,webvid_covr_multimodal
Source: White rose; Edit instruction: It evolves into a white,White evolution,White rose,webvid_covr_multimodal
Source: Sunset at the beach; Edit instruction: make the scene the beach,Crowd at the beach,Sunset at the beach,webvid_covr_multimodal
A woman picks up a piece of cloth from a bed,A woman is picking up a piece of paper on a bowl on the kitchen cabinet,A woman puts down a piece of cloth from a bed,ego4d_temporal
"Source: Symbol smoking burns out of transparency, then burns again. alpha channel premultiplied - matted with color black; Edit instruction: add a surprise element","Symbol surprise burns out of transparency, then burns again. alpha channel premultiplied - matted with color black","Symbol smoking burns out of transparency, then burns again. alpha channel premultiplied - matted with color black",webvid_covr_multimodal
A man opens the refrigerator,A man is opening a Refrigerator in the Kitchen,A man closes the refrigerator,ego4d_temporal
Source: Sunset clouds timelapse; Edit instruction: make it a Paris sunset,Sunset paris timelapse,Sunset clouds timelapse,webvid_covr_multimodal
I don't know anything for sure.,I am unsure about everything.,I know lots of things for certain.,nli_base
A girl turns on the machine,A girl is turning on machine,A girl turns off the machine,ego4d_temporal
A child enters the car oil dipstick reading into the engine oil,A child is entering the car and drives,A child exits the car oil dipstick reading into the engine oil,ego4d_temporal
A man opens cupboard takes a blow,A man opens the cupboard on the ground with the two hands,A man closes cupboard takes a blow,ego4d_temporal
The races are off as three jockeys ride their horses out of the starting gate.,Jockeys riding horses,Men placing bets on a monkey race.,nli_base
These more immediate consequences would force action before national saving plunged to the levels shown in the simulation.,These more immediate consequences would force action.,There were no concerning levels shown in the simulation.,nli_negation
a black dog swimming in the water with a tennis ball in his mouth,A dog is swimming.,A dog is standing on the table.,nli_base
two elderly women shop for flowers while an african-american man watches at their side.,There are elderly women.,The women are buying cake.,nli_base
Kids waiting for the parade in the street.,The children are waiting for the parade.,The children sit in class and listen to the teacher.,nli_base
"But others praise it as a minor-league farm team for potential NATO members, and celebrate its civilizing influence (some PFP members have settled long-standing border disputes).","Others praise it for its civilizing influences, and view it as a minor-league farm team for potential NATO members.",The program is criticized widely for its negative influence.,nli_base
Source: Street sign the way to opportunities; Edit instruction: Make the street sign the way to recognition,Street sign the way to recognition,Street sign the way to opportunities,webvid_covr_multimodal
"These effects include cognitive, sensory, and motor deficits.",They include a number of bodily defects.,There are no deficits of the brain.,nli_negation
Source: Monkey in the zoo; Edit instruction: replace the monkey with camels,Camels in the zoo,Monkey in the zoo,webvid_covr_multimodal
Two kids joyfully sledding downhill.,The children laugh as they slide in the snow.,The children are swimming at the beach.,nli_base
OPP also organized a peer review of the Veterans Consortium Pro Bono Program.,OPP organized reviews from the Veterans in the Consortium pro bono program.,The OPP didn't organize anything.,nli_negation
a black gentleman in a suit is sing before a stand up mike,A gentleman is singing before a mike.,A white man is singing a lullaby,nli_base
A woman opens the lid of a pen,A woman is opening lid of a decorating pen,A woman closes the lid of a pen,ego4d_temporal
A worker picks up a piece of wood from the slider,A worker is picking up a piece of Marble roller coaster from the table,A worker puts down a piece of wood from the slider,ego4d_temporal
A child picks up a plate from the drawer,A child picks up a plate from the slab,A child puts down a plate from the drawer,ego4d_temporal
Source: Beach fun; Edit instruction: as feet,Beach feet,Beach fun,webvid_covr_multimodal
Source: Sky effect; Edit instruction: make it a panorama,Sky panorama,Sky effect,webvid_covr_multimodal
A basketball game before it begins.,There is a basketball game about to start.,The baseball game is getting started.,nli_base
The coaches of the USA Olympic Men's Basketball team are standing on a basketball court with their hands over their hearts.,The coaches are of the USA olympics basketball team,The USA team is dead.,nli_base
The Supplementary Information accompanying the final rule states in this ,The final rule includes supplementary information and outlines some information.,The final rule contains no supplementary information whatsoever and is not useful in any aspect of reality.,nli_negation
Source: Red cooler; Edit instruction: As red dots,Red dots,Red cooler,webvid_covr_multimodal
2 people preparing coffee at a shop.,Two people make coffee.,Two people make pancakes at a diner.,nli_base
A man folds cloth on the left hand,A man is folding a cloth,A man unfolds cloth on the left hand,ego4d_temporal
